ACS_formiga_dist,Elitist_formiga_dist,MaxMin_formiga_dist
20292.086086267285,18318.985195591773,19149.990825830802
18090.17219762928,19352.584350071094,17772.033294406567
20139.557452575566,18069.831937680196,17965.061704493877
18043.586400818363,18874.92497096422,17961.40971578489
18489.65177214815,18959.91366860435,18400.215555717856
19033.567531857585,19010.945320506224,18322.351857754606
18046.157432229844,18381.538102620972,19865.921563083357
20302.5843408855,17198.622598136102,19414.637645104387
19760.32130203319,18693.43274497586,18748.949656305318
19049.90002605536,18572.595625940146,19293.095257290108
